tweet_id,Number_of_Likes,retweet_count
750506206503038976,4451,1147
750429297815552001,13199,4296
750383411068534784,4575,1155
750381685133418496,697,27
750147208377409536,3112,962
750132105863102464,3619,1295
750117059602808832,4342,1318
750101899009982464,3045,849
750086836815486976,2168,536
750071704093859840,7847,3347
750056684286914561,3163,899
750041628174217216,3186,621
750026558547456000,2725,792
750011400160841729,3248,907
749996283729883136,3073,820
749981277374128128,5124,2475
749774190421639168,4665,1315
749417653287129088,6118,1643
749403093750648834,2624,535
749395845976588288,8573,3438
749317047558017024,5512,2240
749075273010798592,5761,2075
749064354620928000,4811,1525
749036806121881602,3096,795
748977405889503236,10772,3403
748932637671223296,5821,2258
748705597323898880,2786,949
748699167502000129,4754,1592
748692773788876800,4254,1334
748575535303884801,6082,1973
748568946752774144,2196,668
748346686624440324,5219,1227
748337862848962560,7649,4108
748324050481647620,3680,759
748307329658011649,3675,711
748220828303695873,14150,7805
747963614829678593,5777,2145
747933425676525569,6595,2544
747885874273214464,2941,977
747844099428986880,2821,750
747816857231626240,4850,1162
747651430853525504,1390,155
747648653817413632,12897,5854
747600769478692864,2326,556
747594051852075008,3676,1057
747512671126323200,5542,1610
747461612269887489,3866,1042
747439450712596480,5416,1915
747242308580548608,0,2900
747219827526344708,5266,1570
747204161125646336,3376,923
747103485104099331,9567,3959
746906459439529985,2895,297
746872823977771008,5983,2131
746818907684614144,5315,1741
746790600704425984,4868,1602
746757706116112384,9576,3909
746726898085036033,6047,1797
746542875601690625,5030,1876
746521445350707200,0,983
746507379341139972,4651,1082
746369468511756288,6172,1627
746131877086527488,6901,2203
746056683365994496,3542,809
745789745784041472,4013,1064
745712589599014916,6994,2326
745433870967832576,7067,2534
745422732645535745,8561,2436
745314880350101504,7166,2747
745074613265149952,7825,3497
745057283344719872,7243,2259
744995568523612160,2961,618
744971049620602880,7865,2681
744709971296780288,5601,1560
744334592493166593,6763,2114
744234799360020481,156164,77780
744223424764059648,1660,366
743980027717509120,4164,1092
743895849529389061,3634,960
743835915802583040,0,2071
743609206067040256,4470,1382
743595368194129920,18342,6523
743545585370791937,3524,940
743510151680958465,7909,3719
743253157753532416,4221,1222
743222593470234624,6199,1902
743210557239623680,3828,1361
742534281772302336,7045,3567
742528092657332225,4404,1976
742465774154047488,7242,3894
742423170473463808,9791,3763
742385895052087300,6793,1966
742161199639494656,4330,1368
742150209887731712,5115,1541
741793263812808706,4531,1507
741743634094141440,8150,2745
741438259667034112,3671,830
741303864243200000,8757,3196
741099773336379392,9961,5496
741067306818797568,9477,3093
740995100998766593,6341,2733
740711788199743490,3386,933
740699697422163968,2839,781
740676976021798912,18101,6797
740373189193256964,34854,13277
740365076218183684,2446,431
740359016048689152,3288,864
740214038584557568,6663,1958
739979191639244800,19898,5903
739932936087216128,4041,1070
739844404073074688,3792,852
739623569819336705,3751,1346
739606147276148736,5362,1647
739544079319588864,39359,21166
739485634323156992,7124,2918
739238157791694849,115308,57677
738891149612572673,111,6
738885046782832640,3759,1137
738883359779196928,3287,789
738537504001953792,5058,1538
738402415918125056,3231,833
738184450748633089,4296,1203
738166403467907072,8735,3341
738156290900254721,2498,637
737826014890496000,5252,1760
737800304142471168,9939,3444
737678689543020544,5012,1314
737445876994609152,10202,4437
737322739594330112,3578,810
737310737551491075,14583,7380
736736130620620800,4235,1719
736392552031657984,17590,7338
736365877722001409,3954,1237
736225175608430592,8081,2767
736010884653420544,7858,2981
735991953473572864,3573,1145
735648611367784448,4012,1095
735635087207878657,6123,2332
735274964362878976,12942,5010
735256018284875776,3310,877
735137028879360001,3118,965
734912297295085568,2733,524
734787690684657664,12455,6248
734776360183431168,2488,541
734559631394082816,1473,393
733828123016450049,3555,778
733822306246479872,3655,1018
733482008106668032,3122,948
733460102733135873,4175,1273
733109485275860992,49919,16763
